sku;Brand;Description;Final_price;Original_price;Discount;Regular_price;Regular_price_measure;Regular_price_un;timestamp
16999;PEPITOS;Alfajor Triple Pepitos 57g;410.27;;;7197.72;1;kg;2023-12-27 14:41:54.478
10109;KINDER;Kinder Bueno;620.16;;;1442.23;100;gr;2023-12-27 14:41:54.478
28192;CACHAFAZ;Galletitas Cachafaz Granola;1487.0;;;6608.89;1;kg;2023-12-27 14:41:54.478
340564;LA CAMPAGNOLA;Mermelada La Campagnola Frutill X390g Bc;1832.0;;;4697.44;1;kg;2023-12-27 14:41:54.478
37178;MILKA;Alfajor Triple Milka Mousse 55g;400.44;;;7280.73;1;kg;2023-12-27 14:41:54.478
403076;PUREZA;Harina Pureza Leudante Ultra Ref X1kg;519.99;;;519.99;1;kg;2023-12-27 14:41:54.478
347837;MEDIA TARDE;Galletitas Mediatarde X315g;649.0;;;2060.32;1;kg;2023-12-27 14:41:54.478
214241;VIGENTE;Pure De Tomate Vigente Brick 520 G;609.95;;;1172.98;1;kg;2023-12-27 14:41:54.478
315563;NUCETE;Aceite De Oliva Nucete Virgen Lata X500;9179.13;;;18358.26;1;lt;2023-12-27 14:41:54.478
395395;LAY´S;Papas Fritas Lays Queso Y Cebolla X77g;1384.0;;;17300.0;1;kg;2023-12-27 14:41:54.478
2744;SALADIX;Galletitas Saladix Pizza 100 Gr;599.0;;;5990.0;1;kg;2023-12-27 14:41:54.478
343443;CUISINE & CO NBE MP;Garbanzos Cuisine & Co 300gr;658.0;;;3209.76;1;kg;2023-12-27 14:41:54.478
12911;SHOT;Alfajor Shot Triple Relleno De Chocolate Con Maní 60g;436.78;;;7279.67;1;kg;2023-12-27 14:41:54.478
3020;COFLER;Chocolate Cofler Block Con Maní 110 Gr;1154.0;;;10490.91;1;kg;2023-12-27 14:41:54.478
3136;SALADIX;Galletitas Saladix Pizza X 30grs;186.0;;;620.0;100;gr;2023-12-27 14:41:54.478
320478;TARAGUI;Mate Cocido Taragui S/e F.diamantado 5x50x3gr.;973.3;;;6488.67;1;kg;2023-12-27 14:41:54.478
320099;MILKA;Bombón De Chocolate Milka Oreo 19g;119.62;;;629.58;100;gr;2023-12-27 14:41:54.478
29821;HILERET;Endulzante Hileret Light X 500 Gr;1310.4;;;2620.8;1;kg;2023-12-27 14:41:54.478
17360;FERRERO;Bombones Ferrero Rocher 3 U;624.92;;;1644.53;100;gr;2023-12-27 14:41:54.478
381713;OROWEAT;Pan Con Cereales Oroweat X 600g;3796.0;;;6326.67;1;kg;2023-12-27 14:41:54.478
43295;RHODESIA;Oblea Rhodesia Clásica 4ux22g;1167.0;;;13261.36;1;kg;2023-12-27 14:41:54.478
387671;FARGO;Pan Salvado Plus Fargo X 600g;2839.0;;;4731.67;1;kg;2023-12-27 14:41:54.478
329412;PASEO;Galletitas Paseo Cinco Semillas 250gr;431.0;;;1724.0;1;kg;2023-12-27 14:41:54.478
386819;PRINGLES;Papas Pringles Crema Y Cebolla X124g;1856.96;;;15474.67;1;kg;2023-12-27 14:41:54.478
27436;LA ESPAÑOLA GOURMET;Lentejas La Española Gourmet 400 Gr;803.45;;;2008.63;1;kg;2023-12-27 14:41:54.478
638;BON O BON;Oblea Bañada Rhodesia 22gr;305.0;;;1386.36;100;gr;2023-12-27 14:41:54.478
394960;DORITOS;Nachos Doritos Sabor Queso X40g;859.0;;;2147.5;100;gr;2023-12-27 14:41:54.478
40326;PRESTOPRONTA;Harina De Maíz Presto Pronta 500 Gr;566.0;;;1132.0;1;kg;2023-12-27 14:41:54.478
40423;CELUSAL;Sal Fina Celusal 500 Gr;397.0;;;794.0;1;kg;2023-12-27 14:41:54.478
24157;DOS ANCLAS;Sal Fina Dos Anclas X500gr;540.0;;;1080.0;1;kg;2023-12-27 14:41:54.478
2219;CASERITA;Harina Caserita 000 1 Kg;581.0;;;581.0;1;kg;2023-12-27 14:41:54.478
386147;ARTESANO;Pan De Semillas Bimbo Artesano X 500g;3406.0;;;6812.0;1;kg;2023-12-27 14:41:54.478
3194;MILKA;Alfajor Triple Milka Dulce De Leche 70g;383.01;;;5471.57;1;kg;2023-12-27 14:41:54.478
28193;CACHAFAZ;Galletitas Integral Cachafaz Avena Con Chips De Chocolate 225 Gr;1487.0;;;6608.89;1;kg;2023-12-27 14:41:54.478
309249;CUISINE & CO NBE MP;Champignones Laminados Cuisine & Co;1861.0;;;8091.3;1;kg;2023-12-27 14:41:54.478
13831;VERDEFLOR;Yerba Mate Verdeflor Con Palo Hierbas 500 Gr;968.6;1490.15;-35%;2980.3;1;kg;2023-12-27 14:41:54.478
343441;CUISINE & CO NBE MP;Lentejas Cuisine & Co 300gr;684.0;;;3336.59;1;kg;2023-12-27 14:41:54.478
14439;JUMBO MP;Fideos Spaghetti Jumbo 500 Gr;765.0;;;1530.0;1;kg;2023-12-27 14:41:54.478
