Brand;Description;Final_price;Original_price;Discount;Regular_price;Regular_price_measure;Regular_price_un;timestamp
OREO;Galletitas Oreo Mini X50g;181.35;279.0;-35%;558.0;100;gr;2023-12-26 16:47:31.842
CBSE;Yerba Mate Cbsé Hierbas Serranas X1kg;2914.0;;;2914.0;1;kg;2023-12-26 16:47:31.842
LUCHETTI;Fideos Lucchetti Tallarín N5 X500g;1026.0;;;2052.0;1;kg;2023-12-26 16:47:31.842
CEREALITAS;Galletitas Cracker Cereal Cerealitas Clásicas X3uni 636g;1425.0;;;2375.0;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Fideos Spaguetti C&c;879.0;;;1758.0;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Fideos Tirabuzon C&c 500gr;879.0;;;1758.0;1;kg;2023-12-26 16:47:31.842
DOS HERMANOS;Arroz Dos Hermanos Pairboil 1 Kg;1610.11;;;1610.11;1;kg;2023-12-26 16:47:31.842
TODDY;Galletitas Toddy Chips De Chocolate 126 Gr;565.32;869.72;-35%;6902.54;1;kg;2023-12-26 16:47:31.842
MANTECOL;Postre Mantecol Bajo En Sodio 253g;1995.0;;$2.349;9284.58;1;kg;2023-12-26 16:47:31.842
CHEF;Puré Chef X 100gr;592.0;;;5920.0;1;kg;2023-12-26 16:47:31.842
MANA;Galletitas Mana Vainilla 408g;989.0;;;2472.5;1;kg;2023-12-26 16:47:31.842
TRAVIATA;Galletitas De Agua Traviata 303 Gr;580.0;;;1933.33;1;kg;2023-12-26 16:47:31.842
ARCOR;Surtido Arcor El Kiosco 246g;3536.0;;;14373.98;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Galletitas Con Chips De Chocolate 172gr C&co;801.47;;;4659.71;1;kg;2023-12-26 16:47:31.842
CHOCOLINAS;Galletitas Chocolinas X150g;626.0;;;4064.94;1;kg;2023-12-26 16:47:31.842
CACHAFAZ;Alfajores Mixtos Cachafaz 12 U;7445.0;;;10340.28;1;kg;2023-12-26 16:47:31.842
SONRISAS;Galle Sonrisas Frambuesa X324g;1086.0;;;3351.85;1;kg;2023-12-26 16:47:31.842
LA MERCED;Yerba Mate La Merced Barcbacua O.c 500g;1982.3;;;3964.6;1;kg;2023-12-26 16:47:31.842
NUCETE;Aceite De Oliva Nucete Clásico 500 Ml;8301.4;;;16602.8;1;lt;2023-12-26 16:47:31.842
LAY´S;Papas Fritas Lays Clasicas X85g;1191.0;1588.0;-25%;19850.0;1;kg;2023-12-26 16:47:31.842
FERRERO;Bombones Ferrero Rocher 8 U;1748.09;;;17480.9;1;kg;2023-12-26 16:47:31.842
NESCAFE;Nescafé® Tradición X 170gr;1854.7;2853.39;-35%;16784.65;1;kg;2023-12-26 16:47:31.842
