Brand;Description;Final_price;Original_price;Discount;Regular_price;sku
LA CAMPAGNOLA;Lomo De Atún Libre De Gluten La Campagnola 300 Gr;$3.110;;;Precio regular: $10.366,67 x kg;390391
VARIEDAD;Galletitas Dulces Variedad De Terrabusi Nuevo Mix 390g;$1.059;;;Precio regular: $2.715,38 x kg;386186
MILKA;Alfajor Triple Oreo 56g;$419,06;;;Precio regular: $7.483,21 x kg;330886
ARCOR;Turrón De Maní Arcor 25 Gr;$177;3x2;Llevando 3: $118.00 c/u;Precio regular: $708 x 100 gr.;46034
MAÑANITA;Yerba Mate Mañanita 4flex 1/2kg;$1.410,86;;;Precio regular: $2.821,72 x kg;314525
Kit Kat;Oblea Kitkat® Leche 4 Fingers X 41,5gr;$448,39;;;Precio regular: $1.080,46 x 100 gr.;238230
SALSATI;Puré De Tomate Salsati 520 Gr;$413;;;Precio regular: $794,23 x kg;5793
BIMBO;Pan De Hamburguesa Bimbo Artesano | 4u;$1.419;;;Precio regular: $5.912,5 x kg;386146
ARTESANO;Pan Integral Bimbo Artesano X 500g;$3.406;;;Precio regular: $6.812 x kg;386148
MAGGI;Maggi® Puré Original X 200gr;$792,2;;;Precio regular: $3.961 x kg;384402
TRAVIATA;Galletitas Traviata X506g;$1.146;;;Precio regular: $2.264,82 x kg;349360
AZUCEL;Azúcar Azucel Común Tipo A - 1 Kg;$1.190,66;;;Precio regular: $1.190,66 x kg;251559
KESITAS;Galletitas Kesitas 75 Gr;$465;;;Precio regular: $6.200 x kg;24343
LUCHETTI;Fideos Lucchetti Tirabuzón N34 X500g;$1.026;;;Precio regular: $2.052 x kg;403667
CUISINE & CO NBE MP;Don Triturado Cuisine & Co 910 Gr;$1.299;;;Precio regular: $1.427,47 x kg;307582
LAY´S;Papas Lays Clasicas X40g;$859;;;Precio regular: $2.147,5 x 100 gr.;394951
KNORR;Caldo Knorr De Verduras X 12 Cubos;$645;;;Precio regular: $1.290 x 100 gr.;387867
SONRISAS;Galletitas Sonrisas Frambuesa X108g;$335;;;Precio regular: $3.101,85 x kg;330053
LACTAL;Pan Blanco Lactal X 460g;$1.804;;;Precio regular: $3.921,74 x kg;386816
GREEN HILLS;Té Green Hills- 50 Saquitos;$1.152,98;;;Precio regular: $11.529,8 x kg;2772
CASALTA;Vinagres De Alcohol Casalta X1300ml;$940,67;;;Precio regular: $723,59 x lt;42682
LACTAL;Pan Salvado Lactal X 330g;$1.466;;;Precio regular: $4.442,42 x kg;386817
ARCOR;Pure De Tomate Arcor X530g;$447;;;Precio regular: $843,4 x kg;352094
AMOR;Galletitas Amor 108g;$435;;;Precio regular: $4.350 x kg;359198
HELLMANN´S;Mayonesa Hellmanns Clasica Dp X475g;$803;;;Precio regular: $1.690,53 x kg;344528
CUISINE & CO NBE MP;Vainillas Cuisine&co X12 U;$547,81;;;Precio regular: $3.701,42 x kg;315580
PUREZA;Aceite Girasol Pureza 0,9l;$1.430;;;Precio regular: $1.588,89 x lt;311817
ANILLOS;Galletitas Dulces Anillitos Clásicos De Terrabusi 170g;$453;;;Precio regular: $2.664,71 x kg;330920
PUREZA;Harina Pureza Integral 100% 1 Kg;$599;;;Precio regular: $599 x kg;293243
CUISINE & CO NBE MP;Palmitos Trozos 800 Gr Cuisine & Co;$4.450;;;Precio regular: $8.900 x kg;308361
LA MERCED;Yerba Mate La Merced Campo&monteo.c 500g;$1.982,3;;;Precio regular: $3.964,6 x kg;318738
NUTELLA;Nutella 350gr;$1.834,07;;;Precio regular: $5.240,2 x kg;84799
HELLMANN´S;Ketchup Hellmanns X250g;$593;;;Precio regular: $2.502,11 x kg;350080
La Providencia;Galletita Cracker La Providencia Clasica X303gr;$465,93;;;Precio regular: $1.553,1 x kg;294509
LA MOLISANA;Pure De Tomate La Molisana Passata X690gr;$4.375;;;Precio regular: $6.340,58 x kg;310599
DOS ANCLAS;Sal Fina Dos Anclas 500 Gr;$530;;;Precio regular: $1.060 x kg;40555
MOGUL;Gomitas Arcor Mogul Rollo 12 Gr;$299;;;Precio regular: $2.491,67 x 100 gr.;5840
HELLMANN´S;Mayonesa Hellmanns Liviana 950g;$1.257;;;Precio regular: $1.323,16 x kg;386230
OREO;Galletitas Dulces Rellenas Con Crema Oreo Vainilla 354g;$1.105,65;$1.701;-35%;Precio regular: $4.805,08 x kg;330858
OPERA;Galletitas Opera 55 Gr;$232;;;Precio regular: $4.218,18 x kg;39800
CEREALITAS;Galletitas Cracker Cereal Cerealitas Clásicas 212g;$557;;;Precio regular: $2.652,38 x kg;392852
FARGO;Pan Integral Grano Entero Fargo X 350g;$2.158;;;Precio regular: $6.165,71 x kg;387670
PEPITOS;Galletitas Pepitos Mini X50g;Llevando 2: $NaN c/u;;;Precio regular: $560 x 100 gr.;395243
MANTECOL;Postre Mantecol 111g;$1.109;;;Precio regular: $9.990,99 x kg;330887
DORITOS;Doritos Queso X77g;Llevando 2: $NaN c/u;;;Precio regular: $18.300 x kg;395376
MILKA;Alfajor Simple Milka Mousse 6ux42g;$2.113;;;Precio regular: $5.030,95 x 100 gr.;18003
BELDENT;Chicle Mentabeldent 20g;$221;;;Precio regular: $2.210 x 100 gr.;329807
FERRERO;Bombones Ferrero Rocher 24 U;$5.062,36;;;Precio regular: $210,93 x un;2758
LEGITIMO;Aceite Girasol Legitimo X900cc;$1.382;;;Precio regular: $1.535,56 x lt;350410
VOCACION;Galletitas Merengadas Frutilla X88g;$437;;;Precio regular: $5.462,5 x kg;382865
SAVORA;Mostaza Savora Original X500gr;$743;;;Precio regular: $1.486 x kg;383743
PEPITOS;Alfajor Triple Pepitos 57g;$410,27;;;Precio regular: $7.197,72 x kg;16999
KINDER;Kinder Bueno;$620,16;;;Precio regular: $1.442,23 x 100 gr.;10109
CACHAFAZ;Galletitas Cachafaz Granola;$1.487;;;Precio regular: $6.608,89 x kg;28192
LA CAMPAGNOLA;Mermelada La Campagnola Frutill X390g Bc;$1.832;;;Precio regular: $4.697,44 x kg;340564
MILKA;Alfajor Triple Milka Mousse 55g;$400,44;;;Precio regular: $7.280,73 x kg;37178
PUREZA;Harina Pureza Leudante Ultra Ref X1kg;$519,99;;;Precio regular: $519,99 x kg;403076
MEDIA TARDE;Galletitas Mediatarde X315g;$649;;;Precio regular: $2.060,32 x kg;347837
VIGENTE;Pure De Tomate Vigente Brick 520 G;$609,95;;;Precio regular: $1.172,98 x kg;214241
NUCETE;Aceite De Oliva Nucete Virgen Lata X500;$9.179,13;;;Precio regular: $18.358,26 x lt;315563
LAY´S;Papas Fritas Lays Queso Y Cebolla X77g;$1.384;;;Precio regular: $17.300 x kg;395395
SALADIX;Galletitas Saladix Pizza 100 Gr;$599;;;Precio regular: $5.990 x kg;2744
CUISINE & CO NBE MP;Garbanzos Cuisine & Co 300gr;$658;;;Precio regular: $3.209,76 x kg;343443
SHOT;Alfajor Shot Triple Relleno De Chocolate Con Maní 60g;$436,78;;;Precio regular: $7.279,67 x kg;12911
COFLER;Chocolate Cofler Block Con Maní 110 Gr;$1.154;;;Precio regular: $10.490,91 x kg;3020
SALADIX;Galletitas Saladix Pizza X 30grs;$186;;;Precio regular: $620 x 100 gr.;3136
TARAGUI;Mate Cocido Taragui S/e F.diamantado 5x50x3gr.;$973,3;;;Precio regular: $6.488,67 x kg;320478
MILKA;Bombón De Chocolate Milka Oreo 19g;$119,62;;;Precio regular: $629,58 x 100 gr.;320099
HILERET;Endulzante Hileret Light X 500 Gr;$1.310,4;;;Precio regular: $2.620,8 x kg;29821
FERRERO;Bombones Ferrero Rocher 3 U;$624,92;;;Precio regular: $1.644,53 x 100 gr.;17360
